"","forecast","actual"
"2015-01-01 00:00:00",26.4615438531886,25.02
"2015-01-01 01:00:00",24.8209515417833,18.29
"2015-01-01 02:00:00",23.4457730997616,16.04
"2015-01-01 03:00:00",21.4662628266049,14.6
"2015-01-01 04:00:00",20.8083753785934,14.95
"2015-01-01 05:00:00",19.8422274099609,14.5
"2015-01-01 06:00:00",18.3867954030089,10.76
"2015-01-01 07:00:00",18.2333764082887,12.01
"2015-01-01 08:00:00",17.9053886485466,12.39
"2015-01-01 09:00:00",18.5408007516407,14.04
"2015-01-01 10:00:00",19.0113929511043,14.68
"2015-01-01 11:00:00",19.8662714016193,16.08
"2015-01-01 12:00:00",21.5701016988823,16.08
"2015-01-01 13:00:00",20.5108842307568,16.05
"2015-01-01 14:00:00",20.4268711098291,16.04
"2015-01-01 15:00:00",21.4277917374799,16.1
"2015-01-01 16:00:00",24.4446161563716,23.93
"2015-01-01 17:00:00",28.6084560749693,26.9
"2015-01-01 18:00:00",27.0467591802558,26.36
"2015-01-01 19:00:00",24.5116539182154,23.98
"2015-01-01 20:00:00",20.2459206818162,16.09
"2015-01-01 21:00:00",16.1144348470292,14.08
"2015-01-01 22:00:00",19.5146757460724,12.44
"2015-01-01 23:00:00",14.7081025330499,0.04
"2015-01-02 00:00:00",5.30302588703874,-12.11
"2015-01-02 01:00:00",2.84967572203483,-19.63
"2015-01-02 02:00:00",0.96455629618252,-19.37
"2015-01-02 03:00:00",-0.2910858202205,-31.41
"2015-01-02 04:00:00",-1.25774832614963,-46.97
"2015-01-02 05:00:00",-0.232284248624953,-13.48
"2015-01-02 06:00:00",1.91536881132695,0.08
"2015-01-02 07:00:00",5.9329304106,10.06
"2015-01-02 08:00:00",10.8845751899664,14.25
"2015-01-02 09:00:00",14.1257813533768,14.56
"2015-01-02 10:00:00",16.1053029936154,14.64
"2015-01-02 11:00:00",17.2945459317665,15.08
"2015-01-02 12:00:00",17.0733523871334,15.41
"2015-01-02 13:00:00",16.6636215954599,14.52
"2015-01-02 14:00:00",16.4847996165653,14.7
"2015-01-02 15:00:00",16.1521182475041,14.66
"2015-01-02 16:00:00",18.1153863436125,16.09
"2015-01-02 17:00:00",21.3746806902061,25.1
"2015-01-02 18:00:00",21.4416648018349,25.06
"2015-01-02 19:00:00",18.3071563243995,19.08
"2015-01-02 20:00:00",14.9719178091815,14.26
"2015-01-02 21:00:00",12.8801755077486,12.22
"2015-01-02 22:00:00",12.5589719535287,10.4
"2015-01-02 23:00:00",6.96398517073784,-0.33
"2015-01-03 00:00:00",1.75198811997884,-0.08
"2015-01-03 01:00:00",0.100797446030122,-0.07
"2015-01-03 02:00:00",-0.712047067798741,-5.03
"2015-01-03 03:00:00",-0.617076293439588,0.01
"2015-01-03 04:00:00",-0.163915104523605,-0.04
"2015-01-03 05:00:00",0.548663473982972,0.03
"2015-01-03 06:00:00",2.78216590155259,-8.67
"2015-01-03 07:00:00",5.62718674280351,4.46
"2015-01-03 08:00:00",9.24444778531094,9.9
"2015-01-03 09:00:00",12.0244500139254,14.29
"2015-01-03 10:00:00",13.5400628821711,16.73
"2015-01-03 11:00:00",16.2243589045031,22.31
"2015-01-03 12:00:00",18.6333859124523,23.03
"2015-01-03 13:00:00",21.3440686777158,22.4
"2015-01-03 14:00:00",24.0506236329268,27.07
"2015-01-03 15:00:00",27.2694231753982,29.33
"2015-01-03 16:00:00",32.4910689252131,33.85
"2015-01-03 17:00:00",36.5925747405841,45.96
"2015-01-03 18:00:00",37.9676413989405,49.82
"2015-01-03 19:00:00",36.972934384466,47.62
"2015-01-03 20:00:00",33.0618408200261,35.98
"2015-01-03 21:00:00",29.7264981061916,27.26
"2015-01-03 22:00:00",27.0997600598871,27.7
"2015-01-03 23:00:00",21.5477493283582,14.27
"2015-01-04 00:00:00",10.6716278607229,9.32
"2015-01-04 01:00:00",5.87210331634398,0.02
"2015-01-04 02:00:00",4.01971218657551,-0.04
"2015-01-04 03:00:00",2.84042739124723,0.01
"2015-01-04 04:00:00",2.7533437687735,0
"2015-01-04 05:00:00",2.84756404988038,-0.01
"2015-01-04 06:00:00",3.12192024534576,-3.18
"2015-01-04 07:00:00",4.67317529336207,-0.05
"2015-01-04 08:00:00",6.53285795181879,0.05
