DateTime,PRI_DE,PRI_AT,CON_DE,CON_FR,PRO_DE_WND,PRO_DE_SPV
01/11/2012 00:00,31.99,33.32,51882,60050,8331,0
01/11/2012 01:00,27.35,31.25,49630,54850,8327,0
01/11/2012 02:00,25.84,30.14,48057,53550,8337,0
01/11/2012 03:00,21.05,30.17,47498,50400,8314,0
01/11/2012 04:00,21.89,28.93,47218,48300,8464,0
01/11/2012 05:00,25.06,30.21,47853,47800,8601,0
01/11/2012 06:00,25.06,34.93,49695,49050,8904,6
01/11/2012 07:00,31.91,38.22,53276,49400,9035,161
01/11/2012 08:00,34.86,39.9,56378,50800,9057,901
01/11/2012 09:00,37.29,42.01,58518,53250,8998,2323
01/11/2012 10:00,36.92,39.79,60140,55000,8856,4083
01/11/2012 11:00,36.9,39.48,62083,56000,8987,5334
01/11/2012 12:00,36.48,36.98,62029,58000,8977,5611
01/11/2012 13:00,35.06,35.19,60515,58200,8937,4915
01/11/2012 14:00,33.64,34.41,58859,54850,9017,3495
01/11/2012 15:00,33.67,35.01,58406,52500,9341,1581
01/11/2012 16:00,33.78,37.7,58484,51050,9808,417
01/11/2012 17:00,39.95,45.71,60898,53550,10463,1
01/11/2012 18:00,49.96,49.93,64086,60900,11174,0
01/11/2012 19:00,46.99,44.83,65227,61650,11825,0
01/11/2012 20:00,41.73,36.3,61481,59150,12358,0
01/11/2012 21:00,35.1,34.35,58941,56750,12991,0
01/11/2012 22:00,33.01,30.93,57727,56050,12970,0
01/11/2012 23:00,19.92,24.43,54168,58250,13155,0
02/11/2012 00:00,15.6,30.68,54996,55300,13330,0
02/11/2012 01:00,12.92,25.68,53223,52400,13351,0
02/11/2012 02:00,12.91,21.04,52050,51600,13404,0
02/11/2012 03:00,11.01,19.18,51597,48800,13400,0
02/11/2012 04:00,11.2,17.18,52090,47100,13655,0
02/11/2012 05:00,20.87,29.18,53864,48550,13628,0
02/11/2012 06:00,34.63,35,60775,51950,13781,24
02/11/2012 07:00,45.92,44.56,67692,56150,14031,514
02/11/2012 08:00,40.9,47.3,71951,58650,14370,2563
02/11/2012 09:00,35.96,46.68,73084,59850,14922,5240
02/11/2012 10:00,34.61,36.97,73671,60450,15262,7750
02/11/2012 11:00,33.83,35.44,73576,60500,15857,9348
02/11/2012 12:00,33.04,34.01,72994,61350,15847,9431
02/11/2012 13:00,33.1,34.18,71717,61050,15211,8109
02/11/2012 14:00,34.56,36.03,70236,58950,13713,5905
02/11/2012 15:00,45.09,40.43,69421,56500,12007,2962
02/11/2012 16:00,46.91,45.1,68898,55200,10594,660
02/11/2012 17:00,59.38,55.41,70295,57600,10023,4
02/11/2012 18:00,66.31,59,71910,64500,10120,0
02/11/2012 19:00,55.97,49.71,70455,64200,10470,0
02/11/2012 20:00,46.47,38.68,63840,60900,10831,0
02/11/2012 21:00,44,35,60568,57000,11222,0
02/11/2012 22:00,34.61,34.18,59598,55750,10288,0
02/11/2012 23:00,30.39,27.82,56240,57800,10404,0
03/11/2012 00:00,29.03,27.01,53050,54600,11029,0
03/11/2012 01:00,26.9,25.34,50753,51500,11532,0
03/11/2012 02:00,20.44,22.78,50094,50250,11708,0
03/11/2012 03:00,21.09,19.29,49201,47050,11911,0
03/11/2012 04:00,18.98,19.39,50085,44850,11452,0
03/11/2012 05:00,19.77,22.37,50762,45450,10841,0
03/11/2012 06:00,20.67,29.29,52199,46800,10266,12
03/11/2012 07:00,27.84,33.73,54916,48250,9920,255
03/11/2012 08:00,33.1,35.41,59963,50950,9687,1372
